year,Blount_County_Alabama,Winston_County_Alabama,District_Of_Columbia_County_District_of_Columbia,Jackson_County_Kentucky,Leslie_County_Kentucky,La_Salle_County_Louisiana,Prince_Georges_County_Maryland,Bronx_County_New_York,New_York_County_New_York,Petersburg_City_County_Virginia,average
1950,-3.369745121,-2.784854048,-1.441866463,-4.334090909,-2.910921502,-1.435927651,-2.923075971,1.823835311,3.103918376,1.008716075,0
1960,-2.437153372,-2.73708549,-1.684045928,1.493371212,-1.094451577,-0.259140296,-3.120328477,0.174085087,1.055947979,-0.253532002,0
1970,-0.704561624,-1.889316931,-1.126225392,8.120833333,1.522018349,1.717647059,-2.517580984,-0.675665138,-0.192022418,-0.715780079,0
1980,0.562783651,0.84883009,-0.334773471,11.43822459,7.258836207,-1.528882664,-2.645812917,2.149777558,0.236904268,0.678082944,0
1990,-0.551897092,3.840078585,1.559261657,6.801433692,6.596295405,2.541691395,-1.339370462,6.302668891,2.412107631,3.073703534,0
2000,0.849526364,2.252201479,6.796332963,4.842188739,6.221992772,1.467372134,1.906150011,10.32831346,4.46212259,4.940053931,0
2010,-0.7,5,0.2,6.3,4.7,-2,-1.9,3.2,0.9,5.8,0
2015,-0.5,1.7,1.8,1.9,3.7,-0.1,-0.9,2.6,0.4,3.8,0
