year,Blount_County_Alabama,Winston_County_Alabama,District_Of_Columbia_County_District_of_Columbia,Jackson_County_Kentucky,Leslie_County_Kentucky,La_Salle_County_Louisiana,Prince_Georges_County_Maryland,Bronx_County_New_York,New_York_County_New_York,Petersburg_City_County_Virginia,average
1950,1.930254879,2.515145952,3.858133537,0.965909091,2.389078498,3.864072349,2.376924029,7.123835311,8.403918376,6.308716075,5.3
1960,3.062846628,2.76291451,3.815954072,6.993371212,4.405548423,5.240859704,2.379671523,5.674085087,6.555947979,5.246467998,5.5
1970,4.195438376,3.010683069,3.773774608,13.02083333,6.422018349,6.617647059,2.382419016,4.224334862,4.707977582,4.184219921,4.9
1980,7.662783651,7.94883009,6.765226529,18.53822459,14.35883621,5.571117336,4.454187083,9.249777558,7.336904268,7.778082944,7.1
1990,5.048102908,9.440078585,7.159261657,12.40143369,12.19629541,8.141691395,4.260629538,11.90266889,8.012107631,8.673703534,5.6
2000,4.849526364,6.252201479,10.79633296,8.842188739,10.22199277,5.467372134,5.906150011,14.32831346,8.46212259,8.940053931,4
2010,8.9,14.6,9.8,15.9,14.3,7.6,7.7,12.8,10.5,15.4,9.6
2015,5.2,7.4,7.5,7.6,9.4,5.6,4.8,8.3,6.1,9.5,5.7
