percent,unemploymentRate
"10-20%",	10.57121935
"20-30%",	10.83443457
"30-40%",	9.270186335
"40-50%",	8.916002365
"50-60%",	8.173290224
"60-70%",	7.669938556
"70-80%",	7.36253743
"80-90%",	6.177174277
"90-100%",	4.113225
